idx,word,examples,phrases,distractors,batch,category,meanings,note,etymology,script,rare_kanji,complexity,retired
76,うどん,"[{""word"": ""うどんを食べる"", ""reading"": ""うどんをたべる"", ""meaning"": ""to eat udon noodles"", ""tags"": []}]","[{""word"": ""うどんを食べる"", ""reading"": ""うどんをたべる"", ""meaning"": ""to eat udon noodles"", ""tags"": []}, {""word"": ""うどんを買って帰る"", ""reading"": ""うどんをかってかえる"", ""meaning"": ""buy udon noodles and head home""}, {""word"": ""うどんを作る"", ""reading"": ""うどんをつくる"", ""meaning"": ""make udon noodles""}]","[{""word"": ""うとん"", ""reading"": ""うとん"", ""meaning"": ""(non-word)""}, {""word"": ""うどっん"", ""reading"": ""うどっん"", ""meaning"": ""(non-word)""}, {""word"": ""うど"", ""reading"": ""うど"", ""meaning"": ""(non-word)""}]",1,Dining,udon noodles,,"Sino-Japanese (饂飩, from Chinese)",hiragana,饂飩,3,false
77,てんぷら,"[{""word"": ""てんぷらを食べる"", ""reading"": ""てんぷらをたべる"", ""meaning"": ""to eat tempura"", ""tags"": []}]","[{""word"": ""てんぷらを食べる"", ""reading"": ""てんぷらをたべる"", ""meaning"": ""to eat tempura"", ""tags"": []}, {""word"": ""てんぷらを買って帰る"", ""reading"": ""てんぷらをかってかえる"", ""meaning"": ""buy tempura and head home""}, {""word"": ""てんぷらを作る"", ""reading"": ""てんぷらをつくる"", ""meaning"": ""make tempura""}]","[{""word"": ""でんぷら"", ""reading"": ""でんぷら"", ""meaning"": ""(non-word)""}, {""word"": ""てんっぷら"", ""reading"": ""てんっぷら"", ""meaning"": ""(non-word)""}, {""word"": ""てんぷ"", ""reading"": ""てんぷ"", ""meaning"": ""(non-word)""}]",1,Dining,tempura,,"from Portuguese (tempero/têmporas, disputed)",hiragana,天麩羅,4,false
78,こんにゃく,"[{""word"": ""こんにゃくを食べる"", ""reading"": ""こんにゃくをたべる"", ""meaning"": ""to eat konjac"", ""tags"": []}]","[{""word"": ""こんにゃくを食べる"", ""reading"": ""こんにゃくをたべる"", ""meaning"": ""to eat konjac"", ""tags"": []}, {""word"": ""こんにゃくを買って帰る"", ""reading"": ""こんにゃくをかってかえる"", ""meaning"": ""buy konjac and head home""}, {""word"": ""こんにゃくを作る"", ""reading"": ""こんにゃくをつくる"", ""meaning"": ""make konjac""}]","[{""word"": ""ごんにゃく"", ""reading"": ""ごんにゃく"", ""meaning"": ""(non-word)""}, {""word"": ""こんにゃぐ"", ""reading"": ""こんにゃぐ"", ""meaning"": ""(non-word)""}, {""word"": ""こんっにゃく"", ""reading"": ""こんっにゃく"", ""meaning"": ""(non-word)""}]",1,Dining,konjac,,"Sino-Japanese (蒟蒻, from Chinese)",hiragana,蒟蒻,5,false
79,わさび,"[{""word"": ""わさびを食べる"", ""reading"": ""わさびをたべる"", ""meaning"": ""to eat wasabi"", ""tags"": []}]","[{""word"": ""わさびを食べる"", ""reading"": ""わさびをたべる"", ""meaning"": ""to eat wasabi"", ""tags"": []}, {""word"": ""わさびを買って帰る"", ""reading"": ""わさびをかってかえる"", ""meaning"": ""buy wasabi and head home""}, {""word"": ""わさびを作る"", ""reading"": ""わさびをつくる"", ""meaning"": ""make wasabi""}]","[{""word"": ""わざび"", ""reading"": ""わざび"", ""meaning"": ""(non-word)""}, {""word"": ""わさひ"", ""reading"": ""わさひ"", ""meaning"": ""(non-word)""}, {""word"": ""わさっび"", ""reading"": ""わさっび"", ""meaning"": ""(non-word)""}]",1,Dining,wasabi,,native Japanese,hiragana,山葵,3,false
80,にんにく,"[{""word"": ""にんにくを食べる"", ""reading"": ""にんにくをたべる"", ""meaning"": ""to eat garlic"", ""tags"": []}]","[{""word"": ""にんにくを食べる"", ""reading"": ""にんにくをたべる"", ""meaning"": ""to eat garlic"", ""tags"": []}, {""word"": ""にんにくを買って帰る"", ""reading"": ""にんにくをかってかえる"", ""meaning"": ""buy garlic and head home""}, {""word"": ""にんにくを作る"", ""reading"": ""にんにくをつくる"", ""meaning"": ""make garlic""}]","[{""word"": ""にんにぐ"", ""reading"": ""にんにぐ"", ""meaning"": ""(non-word)""}, {""word"": ""にんっにく"", ""reading"": ""にんっにく"", ""meaning"": ""(non-word)""}, {""word"": ""にんに"", ""reading"": ""にんに"", ""meaning"": ""(non-word)""}]",1,Dining,garlic,,,hiragana,大蒜,4,false
81,ごま,"[{""word"": ""ごまを食べる"", ""reading"": ""ごまをたべる"", ""meaning"": ""to eat sesame"", ""tags"": []}]","[{""word"": ""ごまを食べる"", ""reading"": ""ごまをたべる"", ""meaning"": ""to eat sesame"", ""tags"": []}, {""word"": ""ごまを買って帰る"", ""reading"": ""ごまをかってかえる"", ""meaning"": ""buy sesame and head home""}, {""word"": ""ごまを作る"", ""reading"": ""ごまをつくる"", ""meaning"": ""make sesame""}]","[{""word"": ""こま"", ""reading"": ""こま"", ""meaning"": ""(non-word)""}]",1,Dining,sesame,,"Sino-Japanese (胡麻, from Chinese)",hiragana,胡麻,2,false
82,だし,"[{""word"": ""だしの味"", ""reading"": ""だしのあじ"", ""meaning"": ""the flavor of dashi"", ""tags"": []}]","[{""word"": ""だしの味"", ""reading"": ""だしのあじ"", ""meaning"": ""the flavor of dashi""}, {""word"": ""だしを買って帰る"", ""reading"": ""だしをかってかえる"", ""meaning"": ""buy soup stock and head home""}, {""word"": ""だしを作る"", ""reading"": ""だしをつくる"", ""meaning"": ""make soup stock""}]","[{""word"": ""たし"", ""reading"": ""たし"", ""meaning"": ""(non-word)""}, {""word"": ""だじ"", ""reading"": ""だじ"", ""meaning"": ""(non-word)""}]",1,Dining,soup stock,,native Japanese,hiragana,出汁,2,false
83,おかず,"[{""word"": ""おかずを食べる"", ""reading"": ""おかずをたべる"", ""meaning"": ""to eat side dish"", ""tags"": []}]","[{""word"": ""おかずを食べる"", ""reading"": ""おかずをたべる"", ""meaning"": ""to eat side dish"", ""tags"": []}, {""word"": ""おかずを買って帰る"", ""reading"": ""おかずをかってかえる"", ""meaning"": ""buy side dish and head home""}, {""word"": ""おかずを作る"", ""reading"": ""おかずをつくる"", ""meaning"": ""make side dish""}]","[{""word"": ""おがず"", ""reading"": ""おがず"", ""meaning"": ""(non-word)""}, {""word"": ""おかす"", ""reading"": ""おかす"", ""meaning"": ""(non-word)""}, {""word"": ""おかっず"", ""reading"": ""おかっず"", ""meaning"": ""(non-word)""}]",1,Dining,side dish,,native Japanese,hiragana,御数,3,false
84,りんご,"[{""word"": ""りんごを食べる"", ""reading"": ""りんごをたべる"", ""meaning"": ""to eat apple"", ""tags"": []}]","[{""word"": ""りんごを食べる"", ""reading"": ""りんごをたべる"", ""meaning"": ""to eat apple"", ""tags"": []}, {""word"": ""りんごを買って帰る"", ""reading"": ""りんごをかってかえる"", ""meaning"": ""buy apple and head home""}, {""word"": ""りんごを作る"", ""reading"": ""りんごをつくる"", ""meaning"": ""make apple""}]","[{""word"": ""りんこ"", ""reading"": ""りんこ"", ""meaning"": ""(non-word)""}, {""word"": ""りんっご"", ""reading"": ""りんっご"", ""meaning"": ""(non-word)""}, {""word"": ""りん"", ""reading"": ""りん"", ""meaning"": ""(non-word)""}]",1,Dining,apple,,"Sino-Japanese (林檎, from Chinese)",hiragana,林檎,3,false
85,みかん,"[{""word"": ""みかんを食べる"", ""reading"": ""みかんをたべる"", ""meaning"": ""to eat mandarin orange"", ""tags"": []}]","[{""word"": ""みかんを食べる"", ""reading"": ""みかんをたべる"", ""meaning"": ""to eat mandarin orange"", ""tags"": []}, {""word"": ""みかんを買って帰る"", ""reading"": ""みかんをかってかえる"", ""meaning"": ""buy mandarin orange and head home""}, {""word"": ""みかんを作る"", ""reading"": ""みかんをつくる"", ""meaning"": ""make mandarin orange""}]","[{""word"": ""みがん"", ""reading"": ""みがん"", ""meaning"": ""(non-word)""}, {""word"": ""みかっん"", ""reading"": ""みかっん"", ""meaning"": ""(non-word)""}, {""word"": ""みか"", ""reading"": ""みか"", ""meaning"": ""(non-word)""}]",1,Dining,mandarin orange,,"Sino-Japanese (蜜柑, from Chinese)",hiragana,蜜柑,3,false
86,ぶどう,"[{""word"": ""ぶどうを食べる"", ""reading"": ""ぶどうをたべる"", ""meaning"": ""to eat grape"", ""tags"": []}]","[{""word"": ""ぶどうを食べる"", ""reading"": ""ぶどうをたべる"", ""meaning"": ""to eat grape"", ""tags"": []}, {""word"": ""ぶどうを買って帰る"", ""reading"": ""ぶどうをかってかえる"", ""meaning"": ""buy grape and head home""}, {""word"": ""ぶどうを作る"", ""reading"": ""ぶどうをつくる"", ""meaning"": ""make grape""}]","[{""word"": ""ふどう"", ""reading"": ""ふどう"", ""meaning"": ""(non-word)""}, {""word"": ""ぶとう"", ""reading"": ""ぶとう"", ""meaning"": ""(non-word)""}, {""word"": ""ぶどっう"", ""reading"": ""ぶどっう"", ""meaning"": ""(non-word)""}]",1,Dining,grape,,,hiragana,葡萄,3,false
87,すいか,"[{""word"": ""すいかを食べる"", ""reading"": ""すいかをたべる"", ""meaning"": ""to eat watermelon"", ""tags"": []}]","[{""word"": ""すいかを食べる"", ""reading"": ""すいかをたべる"", ""meaning"": ""to eat watermelon"", ""tags"": []}, {""word"": ""すいかを買って帰る"", ""reading"": ""すいかをかってかえる"", ""meaning"": ""buy watermelon and head home""}, {""word"": ""すいかを作る"", ""reading"": ""すいかをつくる"", ""meaning"": ""make watermelon""}]","[{""word"": ""ずいか"", ""reading"": ""ずいか"", ""meaning"": ""(non-word)""}, {""word"": ""すいが"", ""reading"": ""すいが"", ""meaning"": ""(non-word)""}, {""word"": ""すいっか"", ""reading"": ""すいっか"", ""meaning"": ""(non-word)""}]",1,Dining,watermelon,,"Sino-Japanese (西瓜, from Chinese)",hiragana,西瓜,3,false
88,びわ,"[{""word"": ""びわを食べる"", ""reading"": ""びわをたべる"", ""meaning"": ""to eat loquat"", ""tags"": []}]","[{""word"": ""びわを食べる"", ""reading"": ""びわをたべる"", ""meaning"": ""to eat loquat"", ""tags"": []}, {""word"": ""びわを買って帰る"", ""reading"": ""びわをかってかえる"", ""meaning"": ""buy loquat and head home""}, {""word"": ""びわを作る"", ""reading"": ""びわをつくる"", ""meaning"": ""make loquat""}]","[{""word"": ""ひわ"", ""reading"": ""ひわ"", ""meaning"": ""(non-word)""}]",1,Dining,loquat,,"Sino-Japanese (枇杷, from Chinese)",hiragana,枇杷,2,false
89,たまねぎ,"[{""word"": ""たまねぎを食べる"", ""reading"": ""たまねぎをたべる"", ""meaning"": ""to eat onion"", ""tags"": []}]","[{""word"": ""たまねぎを食べる"", ""reading"": ""たまねぎをたべる"", ""meaning"": ""to eat onion"", ""tags"": []}, {""word"": ""たまねぎを買って帰る"", ""reading"": ""たまねぎをかってかえる"", ""meaning"": ""buy onion and head home""}, {""word"": ""たまねぎを作る"", ""reading"": ""たまねぎをつくる"", ""meaning"": ""make onion""}]","[{""word"": ""だまねぎ"", ""reading"": ""だまねぎ"", ""meaning"": ""(non-word)""}, {""word"": ""たまねき"", ""reading"": ""たまねき"", ""meaning"": ""(non-word)""}, {""word"": ""たまっねぎ"", ""reading"": ""たまっねぎ"", ""meaning"": ""(non-word)""}]",1,Dining,onion,,native Japanese,hiragana,玉葱,4,false
90,ねぎ,"[{""word"": ""ねぎを食べる"", ""reading"": ""ねぎをたべる"", ""meaning"": ""to eat green onion"", ""tags"": []}]","[{""word"": ""ねぎを食べる"", ""reading"": ""ねぎをたべる"", ""meaning"": ""to eat green onion"", ""tags"": []}, {""word"": ""ねぎを買って帰る"", ""reading"": ""ねぎをかってかえる"", ""meaning"": ""buy green onion and head home""}, {""word"": ""ねぎを作る"", ""reading"": ""ねぎをつくる"", ""meaning"": ""make green onion""}]","[{""word"": ""ねき"", ""reading"": ""ねき"", ""meaning"": ""(non-word)""}]",1,Dining,green onion,,native Japanese,hiragana,葱,2,false
91,なす,"[{""word"": ""なすを食べる"", ""reading"": ""なすをたべる"", ""meaning"": ""to eat eggplant"", ""tags"": []}]","[{""word"": ""なすを食べる"", ""reading"": ""なすをたべる"", ""meaning"": ""to eat eggplant"", ""tags"": []}, {""word"": ""なすを買って帰る"", ""reading"": ""なすをかってかえる"", ""meaning"": ""buy eggplant and head home""}, {""word"": ""なすを作る"", ""reading"": ""なすをつくる"", ""meaning"": ""make eggplant""}]","[{""word"": ""なず"", ""reading"": ""なず"", ""meaning"": ""(non-word)""}]",1,Dining,eggplant,,native Japanese,hiragana,茄子,2,false
92,きゅうり,"[{""word"": ""きゅうりを食べる"", ""reading"": ""きゅうりをたべる"", ""meaning"": ""to eat cucumber"", ""tags"": []}]","[{""word"": ""きゅうりを食べる"", ""reading"": ""きゅうりをたべる"", ""meaning"": ""to eat cucumber"", ""tags"": []}, {""word"": ""きゅうりを買って帰る"", ""reading"": ""きゅうりをかってかえる"", ""meaning"": ""buy cucumber and head home""}, {""word"": ""きゅうりを作る"", ""reading"": ""きゅうりをつくる"", ""meaning"": ""make cucumber""}]","[{""word"": ""ぎゅうり"", ""reading"": ""ぎゅうり"", ""meaning"": ""(non-word)""}, {""word"": ""きゅっうり"", ""reading"": ""きゅっうり"", ""meaning"": ""(non-word)""}, {""word"": ""きゅう"", ""reading"": ""きゅう"", ""meaning"": ""(non-word)""}]",1,Dining,cucumber,,native Japanese,hiragana,胡瓜,4,false
93,じゃがいも,"[{""word"": ""じゃがいもを食べる"", ""reading"": ""じゃがいもをたべる"", ""meaning"": ""to eat potato"", ""tags"": []}]","[{""word"": ""じゃがいもを食べる"", ""reading"": ""じゃがいもをたべる"", ""meaning"": ""to eat potato"", ""tags"": []}, {""word"": ""じゃがいもを買って帰る"", ""reading"": ""じゃがいもをかってかえる"", ""meaning"": ""buy potato and head home""}, {""word"": ""じゃがいもを作る"", ""reading"": ""じゃがいもをつくる"", ""meaning"": ""make potato""}]","[{""word"": ""しゃがいも"", ""reading"": ""しゃがいも"", ""meaning"": ""(non-word)""}, {""word"": ""じゃかいも"", ""reading"": ""じゃかいも"", ""meaning"": ""(non-word)""}, {""word"": ""じゃっがいも"", ""reading"": ""じゃっがいも"", ""meaning"": ""(non-word)""}]",1,Dining,potato,,from Jakarta (ジャガタラ) + 芋,hiragana,馬鈴薯,5,false
94,ごぼう,"[{""word"": ""ごぼうを食べる"", ""reading"": ""ごぼうをたべる"", ""meaning"": ""to eat burdock"", ""tags"": []}]","[{""word"": ""ごぼうを食べる"", ""reading"": ""ごぼうをたべる"", ""meaning"": ""to eat burdock"", ""tags"": []}, {""word"": ""ごぼうを買って帰る"", ""reading"": ""ごぼうをかってかえる"", ""meaning"": ""buy burdock and head home""}, {""word"": ""ごぼうを作る"", ""reading"": ""ごぼうをつくる"", ""meaning"": ""make burdock""}]","[{""word"": ""こぼう"", ""reading"": ""こぼう"", ""meaning"": ""(non-word)""}, {""word"": ""ごほう"", ""reading"": ""ごほう"", ""meaning"": ""(non-word)""}, {""word"": ""ごぼっう"", ""reading"": ""ごぼっう"", ""meaning"": ""(non-word)""}]",1,Dining,burdock,,"Sino-Japanese (牛蒡, from Chinese)",hiragana,牛蒡,3,false
95,きのこ,"[{""word"": ""きのこを食べる"", ""reading"": ""きのこをたべる"", ""meaning"": ""to eat mushroom"", ""tags"": []}]","[{""word"": ""きのこを食べる"", ""reading"": ""きのこをたべる"", ""meaning"": ""to eat mushroom"", ""tags"": []}, {""word"": ""きのこを買って帰る"", ""reading"": ""きのこをかってかえる"", ""meaning"": ""buy mushroom and head home""}, {""word"": ""きのこを作る"", ""reading"": ""きのこをつくる"", ""meaning"": ""make mushroom""}]","[{""word"": ""ぎのこ"", ""reading"": ""ぎのこ"", ""meaning"": ""(non-word)""}, {""word"": ""きのご"", ""reading"": ""きのご"", ""meaning"": ""(non-word)""}, {""word"": ""きのっこ"", ""reading"": ""きのっこ"", ""meaning"": ""(non-word)""}]",1,Dining,mushroom,,native Japanese,hiragana,茸,3,false
96,かび,"[{""word"": ""かびが生える"", ""reading"": ""かびがはえる"", ""meaning"": ""mold grows"", ""tags"": []}]","[{""word"": ""かびが生える"", ""reading"": ""かびがはえる"", ""meaning"": ""mold grows"", ""tags"": []}, {""word"": ""きれいなかび"", ""reading"": ""きれいなかび"", ""meaning"": ""a pretty mold""}, {""word"": ""かびの写真"", ""reading"": ""かびのしゃしん"", ""meaning"": ""a photo of mold""}]","[{""word"": ""がび"", ""reading"": ""がび"", ""meaning"": ""(non-word)""}, {""word"": ""かひ"", ""reading"": ""かひ"", ""meaning"": ""(non-word)""}]",1,Nature,mold,,native Japanese,hiragana,黴,2,false
97,ばら,"[{""word"": ""ばらが好き"", ""reading"": ""ばらがすき"", ""meaning"": ""to like rose"", ""tags"": []}]","[{""word"": ""ばらが好き"", ""reading"": ""ばらがすき"", ""meaning"": ""to like rose"", ""tags"": []}, {""word"": ""きれいなばら"", ""reading"": ""きれいなばら"", ""meaning"": ""a pretty rose""}, {""word"": ""ばらの写真"", ""reading"": ""ばらのしゃしん"", ""meaning"": ""a photo of rose""}]","[{""word"": ""はら"", ""reading"": ""はら"", ""meaning"": ""(non-word)""}]",1,Nature,rose,,native Japanese,hiragana,薔薇,2,false
98,ひまわり,"[{""word"": ""ひまわりが好き"", ""reading"": ""ひまわりがすき"", ""meaning"": ""to like sunflower"", ""tags"": []}]","[{""word"": ""ひまわりが好き"", ""reading"": ""ひまわりがすき"", ""meaning"": ""to like sunflower"", ""tags"": []}, {""word"": ""きれいなひまわり"", ""reading"": ""きれいなひまわり"", ""meaning"": ""a pretty sunflower""}, {""word"": ""ひまわりの写真"", ""reading"": ""ひまわりのしゃしん"", ""meaning"": ""a photo of sunflower""}]","[{""word"": ""びまわり"", ""reading"": ""びまわり"", ""meaning"": ""(non-word)""}, {""word"": ""ひまっわり"", ""reading"": ""ひまっわり"", ""meaning"": ""(non-word)""}, {""word"": ""ひまわ"", ""reading"": ""ひまわ"", ""meaning"": ""(non-word)""}]",1,Nature,sunflower,,native Japanese,hiragana,向日葵,4,false
99,たんぽぽ,"[{""word"": ""たんぽぽが好き"", ""reading"": ""たんぽぽがすき"", ""meaning"": ""to like dandelion"", ""tags"": []}]","[{""word"": ""たんぽぽが好き"", ""reading"": ""たんぽぽがすき"", ""meaning"": ""to like dandelion"", ""tags"": []}, {""word"": ""きれいなたんぽぽ"", ""reading"": ""きれいなたんぽぽ"", ""meaning"": ""a pretty dandelion""}, {""word"": ""たんぽぽの写真"", ""reading"": ""たんぽぽのしゃしん"", ""meaning"": ""a photo of dandelion""}]","[{""word"": ""だんぽぽ"", ""reading"": ""だんぽぽ"", ""meaning"": ""(non-word)""}, {""word"": ""たんっぽぽ"", ""reading"": ""たんっぽぽ"", ""meaning"": ""(non-word)""}, {""word"": ""たんぽ"", ""reading"": ""たんぽ"", ""meaning"": ""(non-word)""}]",1,Nature,dandelion,,native Japanese,hiragana,蒲公英,4,false
100,ねずみ,"[{""word"": ""ねずみがいる"", ""reading"": ""ねずみがいる"", ""meaning"": ""there is a mouse / rat"", ""tags"": []}]","[{""word"": ""ねずみがいる"", ""reading"": ""ねずみがいる"", ""meaning"": ""there is a mouse / rat"", ""tags"": []}, {""word"": ""小さいねずみ"", ""reading"": ""ちいさいねずみ"", ""meaning"": ""a small mouse / rat""}, {""word"": ""ねずみを見に行く"", ""reading"": ""ねずみをみにいく"", ""meaning"": ""go see mouse / rat""}]","[{""word"": ""ねすみ"", ""reading"": ""ねすみ"", ""meaning"": ""(non-word)""}, {""word"": ""ねずっみ"", ""reading"": ""ねずっみ"", ""meaning"": ""(non-word)""}, {""word"": ""ねず"", ""reading"": ""ねず"", ""meaning"": ""(non-word)""}]",1,Animals,mouse / rat,,native Japanese,hiragana,鼠,3,false
101,うさぎ,"[{""word"": ""うさぎがいる"", ""reading"": ""うさぎがいる"", ""meaning"": ""there is a rabbit"", ""tags"": []}]","[{""word"": ""うさぎがいる"", ""reading"": ""うさぎがいる"", ""meaning"": ""there is a rabbit"", ""tags"": []}, {""word"": ""小さいうさぎ"", ""reading"": ""ちいさいうさぎ"", ""meaning"": ""a small rabbit""}, {""word"": ""うさぎを見に行く"", ""reading"": ""うさぎをみにいく"", ""meaning"": ""go see rabbit""}]","[{""word"": ""うざぎ"", ""reading"": ""うざぎ"", ""meaning"": ""(non-word)""}, {""word"": ""うさき"", ""reading"": ""うさき"", ""meaning"": ""(non-word)""}, {""word"": ""うさっぎ"", ""reading"": ""うさっぎ"", ""meaning"": ""(non-word)""}]",1,Animals,rabbit,,native Japanese,hiragana,兎,3,false
102,たぬき,"[{""word"": ""たぬきがいる"", ""reading"": ""たぬきがいる"", ""meaning"": ""there is a raccoon dog"", ""tags"": []}]","[{""word"": ""たぬきがいる"", ""reading"": ""たぬきがいる"", ""meaning"": ""there is a raccoon dog"", ""tags"": []}, {""word"": ""小さいたぬき"", ""reading"": ""ちいさいたぬき"", ""meaning"": ""a small raccoon dog""}, {""word"": ""たぬきを見に行く"", ""reading"": ""たぬきをみにいく"", ""meaning"": ""go see raccoon dog""}]","[{""word"": ""だぬき"", ""reading"": ""だぬき"", ""meaning"": ""(non-word)""}, {""word"": ""たぬぎ"", ""reading"": ""たぬぎ"", ""meaning"": ""(non-word)""}, {""word"": ""たぬっき"", ""reading"": ""たぬっき"", ""meaning"": ""(non-word)""}]",1,Animals,raccoon dog,,native Japanese,hiragana,狸,3,false
103,きつね,"[{""word"": ""きつねがいる"", ""reading"": ""きつねがいる"", ""meaning"": ""there is a fox"", ""tags"": []}]","[{""word"": ""きつねがいる"", ""reading"": ""きつねがいる"", ""meaning"": ""there is a fox"", ""tags"": []}, {""word"": ""小さいきつね"", ""reading"": ""ちいさいきつね"", ""meaning"": ""a small fox""}, {""word"": ""きつねを見に行く"", ""reading"": ""きつねをみにいく"", ""meaning"": ""go see fox""}]","[{""word"": ""ぎつね"", ""reading"": ""ぎつね"", ""meaning"": ""(non-word)""}, {""word"": ""きづね"", ""reading"": ""きづね"", ""meaning"": ""(non-word)""}, {""word"": ""きつっね"", ""reading"": ""きつっね"", ""meaning"": ""(non-word)""}]",1,Animals,fox,,native Japanese,hiragana,狐,3,false
104,らくだ,"[{""word"": ""らくだがいる"", ""reading"": ""らくだがいる"", ""meaning"": ""there is a camel"", ""tags"": []}]","[{""word"": ""らくだがいる"", ""reading"": ""らくだがいる"", ""meaning"": ""there is a camel"", ""tags"": []}, {""word"": ""小さいらくだ"", ""reading"": ""ちいさいらくだ"", ""meaning"": ""a small camel""}, {""word"": ""らくだを見に行く"", ""reading"": ""らくだをみにいく"", ""meaning"": ""go see camel""}]","[{""word"": ""らぐだ"", ""reading"": ""らぐだ"", ""meaning"": ""(non-word)""}, {""word"": ""らくた"", ""reading"": ""らくた"", ""meaning"": ""(non-word)""}, {""word"": ""らくっだ"", ""reading"": ""らくっだ"", ""meaning"": ""(non-word)""}]",1,Animals,camel,,"Sino-Japanese (駱駝, from Chinese)",hiragana,駱駝,3,false
105,きりん,"[{""word"": ""きりんがいる"", ""reading"": ""きりんがいる"", ""meaning"": ""there is a giraffe"", ""tags"": []}]","[{""word"": ""きりんがいる"", ""reading"": ""きりんがいる"", ""meaning"": ""there is a giraffe"", ""tags"": []}, {""word"": ""小さいきりん"", ""reading"": ""ちいさいきりん"", ""meaning"": ""a small giraffe""}, {""word"": ""きりんを見に行く"", ""reading"": ""きりんをみにいく"", ""meaning"": ""go see giraffe""}]","[{""word"": ""ぎりん"", ""reading"": ""ぎりん"", ""meaning"": ""(non-word)""}, {""word"": ""きりっん"", ""reading"": ""きりっん"", ""meaning"": ""(non-word)""}, {""word"": ""きり"", ""reading"": ""きり"", ""meaning"": ""(non-word)""}]",1,Animals,giraffe,,"Sino-Japanese (麒麟, from Chinese)",hiragana,麒麟,3,false
106,いるか,"[{""word"": ""いるかがいる"", ""reading"": ""いるかがいる"", ""meaning"": ""there is a dolphin"", ""tags"": []}]","[{""word"": ""いるかがいる"", ""reading"": ""いるかがいる"", ""meaning"": ""there is a dolphin"", ""tags"": []}, {""word"": ""小さいいるか"", ""reading"": ""ちいさいいるか"", ""meaning"": ""a small dolphin""}, {""word"": ""いるかを見に行く"", ""reading"": ""いるかをみにいく"", ""meaning"": ""go see dolphin""}]","[{""word"": ""いるが"", ""reading"": ""いるが"", ""meaning"": ""(non-word)""}, {""word"": ""いるっか"", ""reading"": ""いるっか"", ""meaning"": ""(non-word)""}, {""word"": ""いる"", ""reading"": ""いる"", ""meaning"": ""(non-word)""}]",1,Animals,dolphin,,native Japanese,hiragana,海豚,3,false
107,さめ,"[{""word"": ""さめがいる"", ""reading"": ""さめがいる"", ""meaning"": ""there is a shark"", ""tags"": []}]","[{""word"": ""さめがいる"", ""reading"": ""さめがいる"", ""meaning"": ""there is a shark"", ""tags"": []}, {""word"": ""小さいさめ"", ""reading"": ""ちいさいさめ"", ""meaning"": ""a small shark""}, {""word"": ""さめを見に行く"", ""reading"": ""さめをみにいく"", ""meaning"": ""go see shark""}]","[{""word"": ""ざめ"", ""reading"": ""ざめ"", ""meaning"": ""(non-word)""}]",1,Animals,shark,,native Japanese,hiragana,鮫,2,false
108,わに,"[{""word"": ""わにがいる"", ""reading"": ""わにがいる"", ""meaning"": ""there is a crocodile"", ""tags"": []}]","[{""word"": ""わにがいる"", ""reading"": ""わにがいる"", ""meaning"": ""there is a crocodile"", ""tags"": []}, {""word"": ""小さいわに"", ""reading"": ""ちいさいわに"", ""meaning"": ""a small crocodile""}, {""word"": ""わにを見に行く"", ""reading"": ""わにをみにいく"", ""meaning"": ""go see crocodile""}]",[],1,Animals,crocodile,,native Japanese,hiragana,鰐,2,false
109,かえる,"[{""word"": ""かえるがいる"", ""reading"": ""かえるがいる"", ""meaning"": ""there is a frog"", ""tags"": []}]","[{""word"": ""かえるがいる"", ""reading"": ""かえるがいる"", ""meaning"": ""there is a frog"", ""tags"": []}, {""word"": ""小さいかえる"", ""reading"": ""ちいさいかえる"", ""meaning"": ""a small frog""}, {""word"": ""かえるを見に行く"", ""reading"": ""かえるをみにいく"", ""meaning"": ""go see frog""}]","[{""word"": ""がえる"", ""reading"": ""がえる"", ""meaning"": ""(non-word)""}, {""word"": ""かえっる"", ""reading"": ""かえっる"", ""meaning"": ""(non-word)""}, {""word"": ""かえ"", ""reading"": ""かえ"", ""meaning"": ""(non-word)""}]",1,Animals,frog,,native Japanese,hiragana,蛙,3,false
110,とかげ,"[{""word"": ""とかげがいる"", ""reading"": ""とかげがいる"", ""meaning"": ""there is a lizard"", ""tags"": []}]","[{""word"": ""とかげがいる"", ""reading"": ""とかげがいる"", ""meaning"": ""there is a lizard"", ""tags"": []}, {""word"": ""小さいとかげ"", ""reading"": ""ちいさいとかげ"", ""meaning"": ""a small lizard""}, {""word"": ""とかげを見に行く"", ""reading"": ""とかげをみにいく"", ""meaning"": ""go see lizard""}]","[{""word"": ""どかげ"", ""reading"": ""どかげ"", ""meaning"": ""(non-word)""}, {""word"": ""とがげ"", ""reading"": ""とがげ"", ""meaning"": ""(non-word)""}, {""word"": ""とかけ"", ""reading"": ""とかけ"", ""meaning"": ""(non-word)""}]",1,Animals,lizard,,native Japanese,hiragana,蜥蜴,3,false
111,たこ,"[{""word"": ""たこがいる"", ""reading"": ""たこがいる"", ""meaning"": ""there is a octopus"", ""tags"": []}]","[{""word"": ""たこがいる"", ""reading"": ""たこがいる"", ""meaning"": ""there is a octopus"", ""tags"": []}, {""word"": ""小さいたこ"", ""reading"": ""ちいさいたこ"", ""meaning"": ""a small octopus""}, {""word"": ""たこを見に行く"", ""reading"": ""たこをみにいく"", ""meaning"": ""go see octopus""}]","[{""word"": ""だこ"", ""reading"": ""だこ"", ""meaning"": ""(non-word)""}, {""word"": ""たご"", ""reading"": ""たご"", ""meaning"": ""(non-word)""}]",1,Animals,octopus,,native Japanese,hiragana,蛸,2,false
