id,kanji_list,tokens
s072,"[61, 93]","[{""kind"": ""word"", ""ja"": ""砂糖"", ""reading"": ""さとう"", ""en"": ""sugar"", ""kanji"": [""糖""], ""targets"": [93]}, {""kind"": ""particle"", ""kana"": ""を""}, {""kind"": ""word"", ""ja"": ""入れる"", ""reading"": ""いれる"", ""en"": ""add"", ""kanji"": [""入""], ""targets"": [61]}]"
s073,"[57, 85, 86]","[{""kind"": ""word"", ""ja"": ""野菜"", ""reading"": ""やさい"", ""en"": ""vegetable"", ""kanji"": [""野"", ""菜""], ""targets"": [85, 86]}, {""kind"": ""particle"", ""kana"": ""を""}, {""kind"": ""word"", ""ja"": ""食べる"", ""reading"": ""たべる"", ""en"": ""eat"", ""kanji"": [""食""], ""targets"": [57]}]"
s074,"[82, 89]","[{""kind"": ""word"", ""ja"": ""お茶"", ""reading"": ""おちゃ"", ""en"": ""tea"", ""kanji"": [""茶""], ""targets"": [82]}, {""kind"": ""particle"", ""kana"": ""と""}, {""kind"": ""word"", ""ja"": ""ご飯"", ""reading"": ""ごはん"", ""en"": ""rice"", ""kanji"": [""飯""], ""targets"": [89]}]"
s075,[89],"[{""kind"": ""word"", ""ja"": ""ご飯"", ""reading"": ""ごはん"", ""en"": ""meal"", ""kanji"": [""飯""], ""targets"": [89]}, {""kind"": ""particle"", ""kana"": ""を""}, {""kind"": ""word"", ""ja"": ""作る"", ""reading"": ""つくる"", ""en"": ""make"", ""kanji"": [], ""targets"": []}]"
s076,"[69, 80]","[{""kind"": ""word"", ""ja"": ""肉"", ""reading"": ""にく"", ""en"": ""meat"", ""kanji"": [""肉""], ""targets"": [80]}, {""kind"": ""particle"", ""kana"": ""が""}, {""kind"": ""word"", ""ja"": ""高い"", ""reading"": ""たかい"", ""en"": ""expensive"", ""kanji"": [""高""], ""targets"": [69]}]"
s077,"[54, 96, 97]","[{""kind"": ""word"", ""ja"": ""学校"", ""reading"": ""がっこう"", ""en"": ""school"", ""kanji"": [""学"", ""校""], ""targets"": [96, 97]}, {""kind"": ""particle"", ""kana"": ""に""}, {""kind"": ""word"", ""ja"": ""行く"", ""reading"": ""いく"", ""en"": ""go"", ""kanji"": [""行""], ""targets"": [54]}]"
s078,"[69, 96, 97, 98]","[{""kind"": ""word"", ""ja"": ""高校"", ""reading"": ""こうこう"", ""en"": ""high school"", ""kanji"": [""高"", ""校""], ""targets"": [69, 97]}, {""kind"": ""particle"", ""kana"": ""の""}, {""kind"": ""word"", ""ja"": ""学生"", ""reading"": ""がくせい"", ""en"": ""student"", ""kanji"": [""学"", ""生""], ""targets"": [96, 98]}]"
s079,[98],"[{""kind"": ""word"", ""ja"": ""生まれる"", ""reading"": ""うまれる"", ""en"": ""be born"", ""kanji"": [""生""], ""targets"": [98]}]"
s080,"[94, 99]","[{""kind"": ""word"", ""ja"": ""白い"", ""reading"": ""しろい"", ""en"": ""white"", ""kanji"": [""白""], ""targets"": [99]}, {""kind"": ""word"", ""ja"": ""車"", ""reading"": ""くるま"", ""en"": ""car"", ""kanji"": [""車""], ""targets"": [94]}]"
s081,"[39, 66, 100]","[{""kind"": ""word"", ""ja"": ""上手に"", ""reading"": ""じょうずに"", ""en"": ""skillfully"", ""kanji"": [""上"", ""手""], ""targets"": [39, 100]}, {""kind"": ""word"", ""ja"": ""話す"", ""reading"": ""はなす"", ""en"": ""speak"", ""kanji"": [""話""], ""targets"": [66]}]"
s082,"[40, 100]","[{""kind"": ""word"", ""ja"": ""下手"", ""reading"": ""へた"", ""en"": ""unskilled"", ""kanji"": [""下"", ""手""], ""targets"": [40, 100]}, {""kind"": ""particle"", ""kana"": ""です""}]"
s083,"[35, 59]","[{""kind"": ""word"", ""ja"": ""名前"", ""reading"": ""なまえ"", ""en"": ""name"", ""kanji"": [""名""], ""targets"": [35]}, {""kind"": ""particle"", ""kana"": ""を""}, {""kind"": ""word"", ""ja"": ""言う"", ""reading"": ""いう"", ""en"": ""say"", ""kanji"": [""言""], ""targets"": [59]}]"
s084,"[60, 72]","[{""kind"": ""word"", ""ja"": ""円"", ""reading"": ""えん"", ""en"": ""yen"", ""kanji"": [""円""], ""targets"": [72]}, {""kind"": ""particle"", ""kana"": ""を""}, {""kind"": ""word"", ""ja"": ""出す"", ""reading"": ""だす"", ""en"": ""pay"", ""kanji"": [""出""], ""targets"": [60]}]"
s085,"[68, 76]","[{""kind"": ""word"", ""ja"": ""少し"", ""reading"": ""すこし"", ""en"": ""a little"", ""kanji"": [""少""], ""targets"": [76]}, {""kind"": ""word"", ""ja"": ""待って"", ""reading"": ""まって"", ""en"": ""wait"", ""kanji"": [""待""], ""targets"": [68]}]"
s086,"[32, 33]","[{""kind"": ""word"", ""ja"": ""男女"", ""reading"": ""だんじょ"", ""en"": ""men and women"", ""kanji"": [""男"", ""女""], ""targets"": [32, 33]}, {""kind"": ""particle"", ""kana"": ""が""}, {""kind"": ""word"", ""ja"": ""いる"", ""reading"": ""いる"", ""en"": ""there are"", ""kanji"": [], ""targets"": []}]"
s087,"[20, 39]","[{""kind"": ""word"", ""ja"": ""土"", ""reading"": ""つち"", ""en"": ""soil"", ""kanji"": [""土""], ""targets"": [20]}, {""kind"": ""particle"", ""kana"": ""の""}, {""kind"": ""word"", ""ja"": ""上"", ""reading"": ""うえ"", ""en"": ""on"", ""kanji"": [""上""], ""targets"": [39]}]"
s088,"[18, 75]","[{""kind"": ""word"", ""ja"": ""木"", ""reading"": ""き"", ""en"": ""tree"", ""kanji"": [""木""], ""targets"": [18]}, {""kind"": ""particle"", ""kana"": ""が""}, {""kind"": ""word"", ""ja"": ""多い"", ""reading"": ""おおい"", ""en"": ""many"", ""kanji"": [""多""], ""targets"": [75]}]"
s089,"[16, 56]","[{""kind"": ""word"", ""ja"": ""火"", ""reading"": ""ひ"", ""en"": ""fire"", ""kanji"": [""火""], ""targets"": [16]}, {""kind"": ""particle"", ""kana"": ""を""}, {""kind"": ""word"", ""ja"": ""見る"", ""reading"": ""みる"", ""en"": ""watch"", ""kanji"": [""見""], ""targets"": [56]}]"
s090,"[19, 76]","[{""kind"": ""word"", ""ja"": ""金"", ""reading"": ""かね"", ""en"": ""money"", ""kanji"": [""金""], ""targets"": [19]}, {""kind"": ""particle"", ""kana"": ""が""}, {""kind"": ""word"", ""ja"": ""少ない"", ""reading"": ""すくない"", ""en"": ""little"", ""kanji"": [""少""], ""targets"": [76]}]"
s091,"[67, 68]","[{""kind"": ""word"", ""ja"": ""立って"", ""reading"": ""たって"", ""en"": ""stand"", ""kanji"": [""立""], ""targets"": [67]}, {""kind"": ""word"", ""ja"": ""待つ"", ""reading"": ""まつ"", ""en"": ""wait"", ""kanji"": [""待""], ""targets"": [68]}]"
s092,"[23, 65]","[{""kind"": ""word"", ""ja"": ""聞く"", ""reading"": ""きく"", ""en"": ""ask"", ""kanji"": [""聞""], ""targets"": [65]}, {""kind"": ""particle"", ""kana"": ""と""}, {""kind"": ""word"", ""ja"": ""分かる"", ""reading"": ""わかる"", ""en"": ""understand"", ""kanji"": [""分""], ""targets"": [23]}]"
s093,"[56, 65]","[{""kind"": ""word"", ""ja"": ""見て"", ""reading"": ""みて"", ""en"": ""look"", ""kanji"": [""見""], ""targets"": [56]}, {""kind"": ""word"", ""ja"": ""聞く"", ""reading"": ""きく"", ""en"": ""listen"", ""kanji"": [""聞""], ""targets"": [65]}]"
s094,"[28, 57, 89]","[{""kind"": ""word"", ""ja"": ""毎朝"", ""reading"": ""まいあさ"", ""en"": ""every morning"", ""kanji"": [""毎""], ""targets"": [28]}, {""kind"": ""word"", ""ja"": ""ご飯"", ""reading"": ""ごはん"", ""en"": ""rice"", ""kanji"": [""飯""], ""targets"": [89]}, {""kind"": ""particle"", ""kana"": ""を""}, {""kind"": ""word"", ""ja"": ""食べる"", ""reading"": ""たべる"", ""en"": ""eat"", ""kanji"": [""食""], ""targets"": [57]}]"
s095,"[32, 77, 98]","[{""kind"": ""word"", ""ja"": ""長男"", ""reading"": ""ちょうなん"", ""en"": ""eldest son"", ""kanji"": [""長"", ""男""], ""targets"": [77, 32]}, {""kind"": ""particle"", ""kana"": ""が""}, {""kind"": ""word"", ""ja"": ""生まれた"", ""reading"": ""うまれた"", ""en"": ""was born"", ""kanji"": [""生""], ""targets"": [98]}]"
s096,[99],"[{""kind"": ""word"", ""ja"": ""白"", ""reading"": ""しろ"", ""en"": ""white"", ""kanji"": [""白""], ""targets"": [99]}, {""kind"": ""particle"", ""kana"": ""と""}, {""kind"": ""word"", ""ja"": ""黒"", ""reading"": ""くろ"", ""en"": ""black"", ""kanji"": [], ""targets"": []}]"
s097,"[30, 44, 52]","[{""kind"": ""word"", ""ja"": ""外国"", ""reading"": ""がいこく"", ""en"": ""foreign country"", ""kanji"": [""外"", ""国""], ""targets"": [52, 44]}, {""kind"": ""particle"", ""kana"": ""の""}, {""kind"": ""word"", ""ja"": ""人"", ""reading"": ""ひと"", ""en"": ""person"", ""kanji"": [""人""], ""targets"": [30]}]"
s098,"[15, 28, 62, 71]","[{""kind"": ""word"", ""ja"": ""毎月"", ""reading"": ""まいつき"", ""en"": ""every month"", ""kanji"": [""毎"", ""月""], ""targets"": [28, 15]}, {""kind"": ""word"", ""ja"": ""本"", ""reading"": ""ほん"", ""en"": ""book"", ""kanji"": [""本""], ""targets"": [71]}, {""kind"": ""particle"", ""kana"": ""を""}, {""kind"": ""word"", ""ja"": ""買う"", ""reading"": ""かう"", ""en"": ""buy"", ""kanji"": [""買""], ""targets"": [62]}]"
s099,"[23, 25]","[{""kind"": ""word"", ""ja"": ""半分"", ""reading"": ""はんぶん"", ""en"": ""half"", ""kanji"": [""半"", ""分""], ""targets"": [25, 23]}, {""kind"": ""particle"", ""kana"": ""に""}, {""kind"": ""word"", ""ja"": ""分ける"", ""reading"": ""わける"", ""en"": ""split"", ""kanji"": [""分""], ""targets"": [23]}]"
s100,"[4, 5]","[{""kind"": ""word"", ""ja"": ""四"", ""reading"": ""よん"", ""en"": ""four"", ""kanji"": [""四""], ""targets"": [4]}, {""kind"": ""particle"", ""kana"": ""と""}, {""kind"": ""word"", ""ja"": ""五"", ""reading"": ""ご"", ""en"": ""five"", ""kanji"": [""五""], ""targets"": [5]}]"
s101,"[6, 7]","[{""kind"": ""word"", ""ja"": ""六"", ""reading"": ""ろく"", ""en"": ""six"", ""kanji"": [""六""], ""targets"": [6]}, {""kind"": ""particle"", ""kana"": ""と""}, {""kind"": ""word"", ""ja"": ""七"", ""reading"": ""なな"", ""en"": ""seven"", ""kanji"": [""七""], ""targets"": [7]}]"
s102,"[8, 9]","[{""kind"": ""word"", ""ja"": ""八"", ""reading"": ""はち"", ""en"": ""eight"", ""kanji"": [""八""], ""targets"": [8]}, {""kind"": ""particle"", ""kana"": ""と""}, {""kind"": ""word"", ""ja"": ""九"", ""reading"": ""きゅう"", ""en"": ""nine"", ""kanji"": [""九""], ""targets"": [9]}]"
s103,"[3, 56]","[{""kind"": ""word"", ""ja"": ""三人"", ""reading"": ""さんにん"", ""en"": ""three people"", ""kanji"": [""三""], ""targets"": [3]}, {""kind"": ""particle"", ""kana"": ""で""}, {""kind"": ""word"", ""ja"": ""見る"", ""reading"": ""みる"", ""en"": ""watch"", ""kanji"": [""見""], ""targets"": [56]}]"
s104,"[2, 62]","[{""kind"": ""word"", ""ja"": ""二つ"", ""reading"": ""ふたつ"", ""en"": ""two"", ""kanji"": [""二""], ""targets"": [2]}, {""kind"": ""word"", ""ja"": ""買う"", ""reading"": ""かう"", ""en"": ""buy"", ""kanji"": [""買""], ""targets"": [62]}]"
s105,"[10, 11, 12]","[{""kind"": ""word"", ""ja"": ""十"", ""reading"": ""じゅう"", ""en"": ""ten"", ""kanji"": [""十""], ""targets"": [10]}, {""kind"": ""particle"", ""kana"": ""と""}, {""kind"": ""word"", ""ja"": ""百"", ""reading"": ""ひゃく"", ""en"": ""hundred"", ""kanji"": [""百""], ""targets"": [11]}, {""kind"": ""particle"", ""kana"": ""と""}, {""kind"": ""word"", ""ja"": ""千"", ""reading"": ""せん"", ""en"": ""thousand"", ""kanji"": [""千""], ""targets"": [12]}]"
s106,"[12, 13]","[{""kind"": ""word"", ""ja"": ""千"", ""reading"": ""せん"", ""en"": ""thousand"", ""kanji"": [""千""], ""targets"": [12]}, {""kind"": ""particle"", ""kana"": ""と""}, {""kind"": ""word"", ""ja"": ""万"", ""reading"": ""まん"", ""en"": ""ten thousand"", ""kanji"": [""万""], ""targets"": [13]}]"
s107,"[11, 53]","[{""kind"": ""word"", ""ja"": ""百"", ""reading"": ""ひゃく"", ""en"": ""hundred"", ""kanji"": [""百""], ""targets"": [11]}, {""kind"": ""particle"", ""kana"": ""の""}, {""kind"": ""word"", ""ja"": ""内"", ""reading"": ""うち"", ""en"": ""out of"", ""kanji"": [""内""], ""targets"": [53]}]"
s108,"[2, 3, 64]","[{""kind"": ""word"", ""ja"": ""二"", ""reading"": ""に"", ""en"": ""two"", ""kanji"": [""二""], ""targets"": [2]}, {""kind"": ""particle"", ""kana"": ""と""}, {""kind"": ""word"", ""ja"": ""三"", ""reading"": ""さん"", ""en"": ""three"", ""kanji"": [""三""], ""targets"": [3]}, {""kind"": ""particle"", ""kana"": ""を""}, {""kind"": ""word"", ""ja"": ""書く"", ""reading"": ""かく"", ""en"": ""write"", ""kanji"": [""書""], ""targets"": [64]}]"
s109,"[4, 5, 6]","[{""kind"": ""word"", ""ja"": ""四人"", ""reading"": ""よにん"", ""en"": ""four people"", ""kanji"": [""四""], ""targets"": [4]}, {""kind"": ""particle"", ""kana"": ""か""}, {""kind"": ""word"", ""ja"": ""五人"", ""reading"": ""ごにん"", ""en"": ""five people"", ""kanji"": [""五""], ""targets"": [5]}, {""kind"": ""particle"", ""kana"": ""か""}, {""kind"": ""word"", ""ja"": ""六人"", ""reading"": ""ろくにん"", ""en"": ""six people"", ""kanji"": [""六""], ""targets"": [6]}, {""kind"": ""particle"", ""kana"": ""いる""}]"
s110,"[7, 8, 9, 63]","[{""kind"": ""word"", ""ja"": ""七"", ""reading"": ""なな"", ""en"": ""seven"", ""kanji"": [""七""], ""targets"": [7]}, {""kind"": ""particle"", ""kana"": ""と""}, {""kind"": ""word"", ""ja"": ""八"", ""reading"": ""はち"", ""en"": ""eight"", ""kanji"": [""八""], ""targets"": [8]}, {""kind"": ""particle"", ""kana"": ""と""}, {""kind"": ""word"", ""ja"": ""九"", ""reading"": ""きゅう"", ""en"": ""nine"", ""kanji"": [""九""], ""targets"": [9]}, {""kind"": ""particle"", ""kana"": ""を""}, {""kind"": ""word"", ""ja"": ""読む"", ""reading"": ""よむ"", ""en"": ""read"", ""kanji"": [""読""], ""targets"": [63]}]"
s111,"[1, 10]","[{""kind"": ""word"", ""ja"": ""一"", ""reading"": ""いち"", ""en"": ""one"", ""kanji"": [""一""], ""targets"": [1]}, {""kind"": ""particle"", ""kana"": ""から""}, {""kind"": ""word"", ""ja"": ""十"", ""reading"": ""じゅう"", ""en"": ""ten"", ""kanji"": [""十""], ""targets"": [10]}, {""kind"": ""particle"", ""kana"": ""まで""}]"
s112,"[15, 16, 17]","[{""kind"": ""word"", ""ja"": ""月"", ""reading"": ""つき"", ""en"": ""month"", ""kanji"": [""月""], ""targets"": [15]}, {""kind"": ""particle"", ""kana"": ""と""}, {""kind"": ""word"", ""ja"": ""火"", ""reading"": ""ひ"", ""en"": ""fire"", ""kanji"": [""火""], ""targets"": [16]}, {""kind"": ""particle"", ""kana"": ""と""}, {""kind"": ""word"", ""ja"": ""水"", ""reading"": ""みず"", ""en"": ""water"", ""kanji"": [""水""], ""targets"": [17]}]"
s113,"[18, 19, 20]","[{""kind"": ""word"", ""ja"": ""木"", ""reading"": ""き"", ""en"": ""tree"", ""kanji"": [""木""], ""targets"": [18]}, {""kind"": ""particle"", ""kana"": ""と""}, {""kind"": ""word"", ""ja"": ""金"", ""reading"": ""きん"", ""en"": ""gold"", ""kanji"": [""金""], ""targets"": [19]}, {""kind"": ""particle"", ""kana"": ""と""}, {""kind"": ""word"", ""ja"": ""土"", ""reading"": ""つち"", ""en"": ""earth"", ""kanji"": [""土""], ""targets"": [20]}]"
s114,"[21, 24, 73]","[{""kind"": ""word"", ""ja"": ""今年"", ""reading"": ""ことし"", ""en"": ""this year"", ""kanji"": [""今"", ""年""], ""targets"": [24, 21]}, {""kind"": ""particle"", ""kana"": ""は""}, {""kind"": ""word"", ""ja"": ""何年"", ""reading"": ""なんねん"", ""en"": ""what year"", ""kanji"": [""何"", ""年""], ""targets"": [73, 21]}, {""kind"": ""particle"", ""kana"": ""ですか""}]"
s115,"[1, 13, 21, 25, 72]","[{""kind"": ""word"", ""ja"": ""半年"", ""reading"": ""はんとし"", ""en"": ""half year"", ""kanji"": [""半"", ""年""], ""targets"": [25, 21]}, {""kind"": ""particle"", ""kana"": ""で""}, {""kind"": ""word"", ""ja"": ""一万円"", ""reading"": ""いちまんえん"", ""en"": ""10000 yen"", ""kanji"": [""一"", ""万"", ""円""], ""targets"": [1, 13, 72]}]"
s116,"[14, 20, 27, 28]","[{""kind"": ""word"", ""ja"": ""毎週"", ""reading"": ""まいしゅう"", ""en"": ""every week"", ""kanji"": [""毎"", ""週""], ""targets"": [28, 27]}, {""kind"": ""word"", ""ja"": ""土日"", ""reading"": ""どにち"", ""en"": ""weekend"", ""kanji"": [""土"", ""日""], ""targets"": [20, 14]}, {""kind"": ""word"", ""ja"": ""休む"", ""reading"": ""やすむ"", ""en"": ""rest"", ""kanji"": [], ""targets"": []}]"
s117,"[1, 26, 27, 68]","[{""kind"": ""word"", ""ja"": ""一週間"", ""reading"": ""いっしゅうかん"", ""en"": ""one week"", ""kanji"": [""一"", ""週"", ""間""], ""targets"": [1, 27, 26]}, {""kind"": ""word"", ""ja"": ""待つ"", ""reading"": ""まつ"", ""en"": ""wait"", ""kanji"": [""待""], ""targets"": [68]}]"
s118,"[31, 37, 38]","[{""kind"": ""word"", ""ja"": ""私"", ""reading"": ""わたし"", ""en"": ""I"", ""kanji"": [""私""], ""targets"": [31]}, {""kind"": ""particle"", ""kana"": ""の""}, {""kind"": ""word"", ""ja"": ""父"", ""reading"": ""ちち"", ""en"": ""father"", ""kanji"": [""父""], ""targets"": [37]}, {""kind"": ""particle"", ""kana"": ""と""}, {""kind"": ""word"", ""ja"": ""母"", ""reading"": ""はは"", ""en"": ""mother"", ""kanji"": [""母""], ""targets"": [38]}]"
s119,"[33, 34, 35]","[{""kind"": ""word"", ""ja"": ""女"", ""reading"": ""おんな"", ""en"": ""woman"", ""kanji"": [""女""], ""targets"": [33]}, {""kind"": ""particle"", ""kana"": ""の""}, {""kind"": ""word"", ""ja"": ""子"", ""reading"": ""こ"", ""en"": ""child"", ""kanji"": [""子""], ""targets"": [34]}, {""kind"": ""particle"", ""kana"": ""の""}, {""kind"": ""word"", ""ja"": ""名前"", ""reading"": ""なまえ"", ""en"": ""name"", ""kanji"": [""名""], ""targets"": [35]}]"
s120,"[31, 36]","[{""kind"": ""word"", ""ja"": ""友達"", ""reading"": ""ともだち"", ""en"": ""friend"", ""kanji"": [""友""], ""targets"": [36]}, {""kind"": ""particle"", ""kana"": ""と""}, {""kind"": ""word"", ""ja"": ""私"", ""reading"": ""わたし"", ""en"": ""I"", ""kanji"": [""私""], ""targets"": [31]}]"
s121,"[37, 94]","[{""kind"": ""word"", ""ja"": ""父"", ""reading"": ""ちち"", ""en"": ""father"", ""kanji"": [""父""], ""targets"": [37]}, {""kind"": ""particle"", ""kana"": ""の""}, {""kind"": ""word"", ""ja"": ""車"", ""reading"": ""くるま"", ""en"": ""car"", ""kanji"": [""車""], ""targets"": [94]}]"
s122,"[38, 43, 50]","[{""kind"": ""word"", ""ja"": ""母"", ""reading"": ""はは"", ""en"": ""mother"", ""kanji"": [""母""], ""targets"": [38]}, {""kind"": ""particle"", ""kana"": ""は""}, {""kind"": ""word"", ""ja"": ""小さい"", ""reading"": ""ちいさい"", ""en"": ""small"", ""kanji"": [""小""], ""targets"": [43]}, {""kind"": ""word"", ""ja"": ""店"", ""reading"": ""みせ"", ""en"": ""shop"", ""kanji"": [""店""], ""targets"": [50]}]"
s123,"[43, 47, 48]","[{""kind"": ""word"", ""ja"": ""小さい"", ""reading"": ""ちいさい"", ""en"": ""small"", ""kanji"": [""小""], ""targets"": [43]}, {""kind"": ""word"", ""ja"": ""町"", ""reading"": ""まち"", ""en"": ""town"", ""kanji"": [""町""], ""targets"": [48]}, {""kind"": ""particle"", ""kana"": ""の""}, {""kind"": ""word"", ""ja"": ""駅"", ""reading"": ""えき"", ""en"": ""station"", ""kanji"": [""駅""], ""targets"": [47]}]"
s124,"[45, 46, 49]","[{""kind"": ""word"", ""ja"": ""山"", ""reading"": ""やま"", ""en"": ""mountain"", ""kanji"": [""山""], ""targets"": [45]}, {""kind"": ""particle"", ""kana"": ""と""}, {""kind"": ""word"", ""ja"": ""川"", ""reading"": ""かわ"", ""en"": ""river"", ""kanji"": [""川""], ""targets"": [46]}, {""kind"": ""particle"", ""kana"": ""と""}, {""kind"": ""word"", ""ja"": ""道"", ""reading"": ""みち"", ""en"": ""road"", ""kanji"": [""道""], ""targets"": [49]}]"
s125,"[51, 52]","[{""kind"": ""word"", ""ja"": ""家"", ""reading"": ""いえ"", ""en"": ""house"", ""kanji"": [""家""], ""targets"": [51]}, {""kind"": ""particle"", ""kana"": ""の""}, {""kind"": ""word"", ""ja"": ""外"", ""reading"": ""そと"", ""en"": ""outside"", ""kanji"": [""外""], ""targets"": [52]}]"
s126,"[47, 52, 53]","[{""kind"": ""word"", ""ja"": ""駅"", ""reading"": ""えき"", ""en"": ""station"", ""kanji"": [""駅""], ""targets"": [47]}, {""kind"": ""particle"", ""kana"": ""の""}, {""kind"": ""word"", ""ja"": ""内"", ""reading"": ""うち"", ""en"": ""inside"", ""kanji"": [""内""], ""targets"": [53]}, {""kind"": ""particle"", ""kana"": ""と""}, {""kind"": ""word"", ""ja"": ""外"", ""reading"": ""そと"", ""en"": ""outside"", ""kanji"": [""外""], ""targets"": [52]}]"
s127,"[40, 49]","[{""kind"": ""word"", ""ja"": ""道"", ""reading"": ""みち"", ""en"": ""road"", ""kanji"": [""道""], ""targets"": [49]}, {""kind"": ""particle"", ""kana"": ""の""}, {""kind"": ""word"", ""ja"": ""下"", ""reading"": ""した"", ""en"": ""under"", ""kanji"": [""下""], ""targets"": [40]}]"
s128,"[41, 48, 51]","[{""kind"": ""word"", ""ja"": ""町"", ""reading"": ""まち"", ""en"": ""town"", ""kanji"": [""町""], ""targets"": [48]}, {""kind"": ""particle"", ""kana"": ""の""}, {""kind"": ""word"", ""ja"": ""中"", ""reading"": ""なか"", ""en"": ""center"", ""kanji"": [""中""], ""targets"": [41]}, {""kind"": ""particle"", ""kana"": ""の""}, {""kind"": ""word"", ""ja"": ""家"", ""reading"": ""いえ"", ""en"": ""house"", ""kanji"": [""家""], ""targets"": [51]}]"
s129,"[42, 51]","[{""kind"": ""word"", ""ja"": ""大きい"", ""reading"": ""おおきい"", ""en"": ""big"", ""kanji"": [""大""], ""targets"": [42]}, {""kind"": ""word"", ""ja"": ""家"", ""reading"": ""いえ"", ""en"": ""house"", ""kanji"": [""家""], ""targets"": [51]}]"
s130,"[35, 64]","[{""kind"": ""word"", ""ja"": ""名前"", ""reading"": ""なまえ"", ""en"": ""name"", ""kanji"": [""名""], ""targets"": [35]}, {""kind"": ""particle"", ""kana"": ""を""}, {""kind"": ""word"", ""ja"": ""書く"", ""reading"": ""かく"", ""en"": ""write"", ""kanji"": [""書""], ""targets"": [64]}]"
s131,"[60, 64, 100]","[{""kind"": ""word"", ""ja"": ""手紙"", ""reading"": ""てがみ"", ""en"": ""letter"", ""kanji"": [""手""], ""targets"": [100]}, {""kind"": ""particle"", ""kana"": ""を""}, {""kind"": ""word"", ""ja"": ""書いて"", ""reading"": ""かいて"", ""en"": ""write"", ""kanji"": [""書""], ""targets"": [64]}, {""kind"": ""word"", ""ja"": ""出す"", ""reading"": ""だす"", ""en"": ""send"", ""kanji"": [""出""], ""targets"": [60]}]"
s132,"[65, 98]","[{""kind"": ""word"", ""ja"": ""先生"", ""reading"": ""せんせい"", ""en"": ""teacher"", ""kanji"": [""生""], ""targets"": [98]}, {""kind"": ""particle"", ""kana"": ""に""}, {""kind"": ""word"", ""ja"": ""聞く"", ""reading"": ""きく"", ""en"": ""ask"", ""kanji"": [""聞""], ""targets"": [65]}]"
s133,"[69, 70, 94]","[{""kind"": ""word"", ""ja"": ""新しい"", ""reading"": ""あたらしい"", ""en"": ""new"", ""kanji"": [""新""], ""targets"": [70]}, {""kind"": ""word"", ""ja"": ""車"", ""reading"": ""くるま"", ""en"": ""car"", ""kanji"": [""車""], ""targets"": [94]}, {""kind"": ""particle"", ""kana"": ""は""}, {""kind"": ""word"", ""ja"": ""高い"", ""reading"": ""たかい"", ""en"": ""expensive"", ""kanji"": [""高""], ""targets"": [69]}]"
s134,"[74, 75]","[{""kind"": ""word"", ""ja"": ""安い"", ""reading"": ""やすい"", ""en"": ""cheap"", ""kanji"": [""安""], ""targets"": [74]}, {""kind"": ""particle"", ""kana"": ""のが""}, {""kind"": ""word"", ""ja"": ""多い"", ""reading"": ""おおい"", ""en"": ""many"", ""kanji"": [""多""], ""targets"": [75]}]"
s135,"[49, 77]","[{""kind"": ""word"", ""ja"": ""長い"", ""reading"": ""ながい"", ""en"": ""long"", ""kanji"": [""長""], ""targets"": [77]}, {""kind"": ""word"", ""ja"": ""道"", ""reading"": ""みち"", ""en"": ""road"", ""kanji"": [""道""], ""targets"": [49]}]"
s136,"[30, 66, 78]","[{""kind"": ""word"", ""ja"": ""好きな"", ""reading"": ""すきな"", ""en"": ""favorite"", ""kanji"": [""好""], ""targets"": [78]}, {""kind"": ""word"", ""ja"": ""人"", ""reading"": ""ひと"", ""en"": ""person"", ""kanji"": [""人""], ""targets"": [30]}, {""kind"": ""particle"", ""kana"": ""と""}, {""kind"": ""word"", ""ja"": ""話す"", ""reading"": ""はなす"", ""en"": ""talk"", ""kanji"": [""話""], ""targets"": [66]}]"
s137,"[59, 67]","[{""kind"": ""word"", ""ja"": ""立って"", ""reading"": ""たって"", ""en"": ""stand"", ""kanji"": [""立""], ""targets"": [67]}, {""kind"": ""word"", ""ja"": ""言った"", ""reading"": ""いった"", ""en"": ""said"", ""kanji"": [""言""], ""targets"": [59]}]"
s138,"[79, 90]","[{""kind"": ""word"", ""ja"": ""米"", ""reading"": ""こめ"", ""en"": ""rice"", ""kanji"": [""米""], ""targets"": [79]}, {""kind"": ""particle"", ""kana"": ""と""}, {""kind"": ""word"", ""ja"": ""麺"", ""reading"": ""めん"", ""en"": ""noodles"", ""kanji"": [""麺""], ""targets"": [90]}]"
s139,"[82, 83]","[{""kind"": ""word"", ""ja"": ""酒"", ""reading"": ""さけ"", ""en"": ""sake"", ""kanji"": [""酒""], ""targets"": [83]}, {""kind"": ""particle"", ""kana"": ""と""}, {""kind"": ""word"", ""ja"": ""茶"", ""reading"": ""ちゃ"", ""en"": ""tea"", ""kanji"": [""茶""], ""targets"": [82]}]"
s140,"[80, 81, 84]","[{""kind"": ""word"", ""ja"": ""卵"", ""reading"": ""たまご"", ""en"": ""egg"", ""kanji"": [""卵""], ""targets"": [84]}, {""kind"": ""particle"", ""kana"": ""と""}, {""kind"": ""word"", ""ja"": ""肉"", ""reading"": ""にく"", ""en"": ""meat"", ""kanji"": [""肉""], ""targets"": [80]}, {""kind"": ""particle"", ""kana"": ""と""}, {""kind"": ""word"", ""ja"": ""魚"", ""reading"": ""さかな"", ""en"": ""fish"", ""kanji"": [""魚""], ""targets"": [81]}]"
